id,x,y,tx,ty
81,-7.0191,-4.8972,-0.8969,0.4422
82,5.7243,6.4932,0.999,0.0437
83,0.1935,-1.4866,0.1744,0.9847
84,-6.8424,-2.9229,0.9364,-0.3511
85,-3.1823,0.3382,-0.2909,-0.9567
86,-2.4547,8.4921,0.9723,-0.2338
87,-4.4679,-0.0495,-0.3143,0.9493
88,-3.8729,-8.336,-0.7723,-0.6353
89,0.0482,-8.0734,-0.179,0.9838
90,7.3488,-4.6879,0.6134,0.7897
91,-0.1899,8.7417,0.0499,0.9988
92,3.0984,4.7092,0.0776,0.997
93,4.1079,-2.3799,-0.6739,-0.7388
94,2.4035,0.6439,0.8434,0.5374
95,6.0354,-3.226,0.3884,0.9215
96,-8.266,1.6361,-0.4396,-0.8982
97,-8.7014,0.2177,0.1471,0.9891
98,2.6131,-5.8614,-0.3626,-0.9319
99,-2.0388,7.8611,0.6493,0.7605
100,-2.8608,-6.9575,0.8901,-0.4557
101,6.7921,-4.3571,-0.5359,-0.8443
102,5.71,0.9936,-0.9827,-0.1852
103,-4.6467,-7.3242,0.7986,-0.6018
104,7.2075,2.3958,-0.5307,0.8476
105,-2.7142,4.0672,0.7982,-0.6024
106,6.9676,5.0378,-0.6275,-0.7786
107,-7.4855,-6.0907,0.8036,-0.5951
108,1.9157,-8.8345,0.8035,0.5952
109,2.943,-8.9089,0.5315,0.847
110,0.8772,3.4541,-0.5778,-0.8162
111,-4.9632,3.8192,0.08,0.9968
112,-3.1428,4.4368,-0.5896,-0.8077
113,6.286,2.837,-0.9093,-0.4161
114,-7.3139,-2.3811,-0.0954,0.9954
115,-4.6082,8.5142,-0.7828,0.6223
116,7.0568,2.3605,0.2779,-0.9606
117,0.0475,1.3843,-0.9989,0.047
118,-5.4856,4.0041,-0.1921,0.9814
119,-8.5623,2.6185,0.4421,0.8969
120,7.9283,8.1707,0.8603,-0.5098
121,-2.3371,-8.7218,0.9003,-0.4353
122,-1.2927,8.3998,0.974,-0.2266
123,6.3542,-3.6999,-0.7505,0.6609
124,6.3205,-3.2954,0.4845,0.8748
125,1.0224,7.8508,-0.3326,-0.9431
126,1.2611,-7.2508,-0.7501,-0.6613
127,8.821,-6.4785,-0.9934,-0.1149
128,6.7927,4.3338,-0.3268,-0.9451
129,3.6447,-2.5292,-0.2705,0.9627
130,5.5685,5.582,0.671,-0.7414
131,7.4383,0.2042,-1.0,-0.0095
132,5.3693,2.6994,-0.2972,-0.9548
133,5.3243,7.0201,-0.5251,0.851
134,-2.2395,-7.3083,-0.8815,-0.4723
135,-8.353,-0.6192,-0.9643,-0.2647
136,-3.8423,1.635,0.9817,0.1905
137,-8.3277,5.8068,-0.6383,0.7697
138,-6.7129,0.4004,0.1253,-0.9921
139,-5.1152,2.212,0.8596,0.5109
140,-8.0697,0.5644,-0.9676,-0.2526
141,2.4737,4.0696,0.9885,-0.1511
142,0.2934,-3.1868,0.2801,-0.96
143,-4.125,-1.0985,0.8809,0.4732
144,-8.5437,8.3277,0.5143,-0.8576
145,3.5275,-1.6388,0.4635,0.8861
146,-6.1841,-4.4956,-0.9525,-0.3044
147,3.8627,2.8836,-0.187,0.9824
148,8.1876,4.2821,-0.9422,-0.3349
149,2.011,-1.4472,0.0143,0.9999
150,-2.5925,4.6412,0.9959,0.0903
151,-6.9107,-8.172,0.9674,0.2531
152,6.3983,3.6658,-0.9869,0.1616
153,-7.239,-0.1509,-0.9861,0.1659
154,-5.8824,-1.1907,-0.8035,0.5954
155,2.0853,2.4317,0.9598,0.2808
156,-2.257,2.2655,-0.9998,-0.0197
157,6.4168,2.8565,0.5202,0.8541
158,-7.7298,2.5635,0.9862,0.1658
159,1.544,7.9241,-0.8896,-0.4566
